,title,price,link
0,Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active,"Rs. 21,349",https://www.daraz.pk/products/redmi-a5-4-gb-ram-rom-64-non-scanned-non-active-i801532292.html
1,Samsung Galaxy A06 4GB RAM + 64 GB ROM,"Rs. 21,199",https://www.daraz.pk/products/samsung-galaxy-a06-4gb-ram-64-gb-rom-i599915386.html
2,Non PTA - Original Apple iPhone SE (2016) Gift ( Charger ) – 16GB/32GB/64GB/128GB – iOS 15.8.1 – Good Condition,"Rs. 11,491",https://www.daraz.pk/products/non-pta-original-apple-iphone-se-2016-gift-charger-16gb32gb64gb128gb-ios-1581-good-condition-i802133270.html
3,Samsung Galaxy A06 4GB RAM + 128 GB ROM,"Rs. 25,449",https://www.daraz.pk/products/samsung-galaxy-a06-4gb-ram-128-gb-rom-i599970007.html
4,Samsung Galaxy A24 8GB+128GB,"Rs. 45,299",https://www.daraz.pk/products/samsung-galaxy-a24-8gb128gb-i427414634.html
5,Apple Iphone 6 - 4.7 Inch Display - Non Pta - 10/10 Condition with charger,"Rs. 6,700",https://www.daraz.pk/products/6-47-pta-1010-i887449351.html
6,Imported ViVo S1 with Box Dual Engine Fast Charger Back Jelly Cover Handsfree Sim Eject Tool - 8/256 RAM ROM (for user 6/128) - Super AMOLED Display - Dual Sim Approved - Vivo Mobile - Vivo Phone - Budget Phone - 4G Mobile - Smart Phone,"Rs. 17,943",https://www.daraz.pk/products/imported-vivo-with-box-dual-engine-fast-charger-handsfree-sim-eject-tool-8256-ram-rom-for-user-6128-super-amoled-display-dual-sim-approved-vivo-mobile-vivo-phone-mobile-phone-on-installment-budget-phone-4g-mobile-smart-phone-i504989519.html
7,Mobile Phone ( Vivo Y85 ) 4GB RAM 64GB ROM Android 9 Dual Sims PTA approved 3600 mAh Battery Capacity and ( FREE CHARGER AND COVER ),"Rs. 9,999",https://www.daraz.pk/products/mobile-phone-vivo-y85-4gb-ram-64gb-rom-android-9-dual-sims-pta-approved-3600-mah-battery-capacity-and-free-charger-and-cover-i798886072.html
8,Global Variant Vivo Y17 with Box Dual Engine Fast Turbo Charger Handsfree Jelly Cover Sim Eject Tool - 8GB RAM - 256GB Storage(For user 4/128) ) - 5000 mah battery - Dual sim Approved - Vivo Mobile - Vivo Phone - Mobile Phone on Installment - Budget Phone,"Rs. 14,991",https://www.daraz.pk/products/global-variant-vivo-y17-with-box-dual-engine-fast-turbo-charger-8gb-ram-256gb-storage4-128-usable-5000-mah-battery-dual-sim-approved-vivo-mobile-vivo-phone-mobile-phone-on-installment-budget-phone-i537237158.html
9,Imported Vivo Y66 Gifts( Charger Handsfree Sim Eject Tool) - 4/64 Memory(For user 3/32) - Premium Quality - Dual Sim Approved - 3gb Ram Mobile - Vivo Mobile - Vivo Phone - 3gb Mobile Phone - Budget Phone - 4G Mobile - Smart Phone,"Rs. 8,897",https://www.daraz.pk/products/imported-vivo-y66-with-box-charger-handsfree-premium-quality-dual-sim-approved-3gb-ram-mobile-vivo-mobile-vivo-phone-3gb-mobile-phone-mobile-phone-on-installment-budget-phone-4g-mobile-smart-phone-i434604001.html
