,Model,price,link
0,Toyota Prius A Premium Touring Selection 2021,Rs 89.90 Lacs,https://www.olx.com.pk/item/toyota-prius-a-premium-touring-selection-2021-iid-1104215721
1,SUZUKI CULTUS VXR 2023,Rs 35.50 Lacs,https://www.olx.com.pk/item/suzuki-cultus-vxr-2023-iid-1103889565
2,2013 Modal 2018 reg Hy not working required,Rs 14 Lacs,https://www.olx.com.pk/item/2013-modal-2018-reg-hy-not-working-required-iid-1102629593
3,Mitsubishi Ek Wagon 2015/18,Rs 23 Lacs,https://www.olx.com.pk/item/mitsubishi-ek-wagon-201518-iid-1104213842
4,Suzuki Mehran VXR 2006,Rs 6.50 Lac,https://www.olx.com.pk/item/suzuki-mehran-vxr-2006-iid-1104212283
5,Every Nissan Clipper Rio PZ Turbo Wagon 100% original 03158065469,Rs 29.75 Lacs,https://www.olx.com.pk/item/every-nissan-clipper-rio-pz-turbo-wagon-100-original-03158065469-iid-1104210149
6,apv Suzuki,Rs 16.50 Lacs,https://www.olx.com.pk/item/apv-suzuki-iid-1104203078
7,Toyota Prius 2011,Rs 37.50 Lacs,https://www.olx.com.pk/item/toyota-prius-2011-iid-1104215231
8,"Diahatsu thor)Toyota tank,Roomy",Rs 42.50 Lacs,https://www.olx.com.pk/item/diahatsu-thortoyota-tankroomy-iid-1103789732
9,Toyota Corolla Altis 1.6 2020,Rs 66.80 Lacs,https://www.olx.com.pk/item/toyota-corolla-altis-16-2020-iid-1104215130
10,Honda civic reborn  2012,Rs 35 Lacs,https://www.olx.com.pk/item/honda-civic-reborn-2012-iid-1104215124
11,Toyota Vitz 2002,Rs 17.50 Lacs,https://www.olx.com.pk/item/toyota-vitz-2002-iid-1104214907
12,Kia Sportage AWD 2022/23,Rs 74.80 Lacs,https://www.olx.com.pk/item/kia-sportage-awd-202223-iid-1104096126
13,SUZUKI ALTO VXR MANUAL BLACK,Rs 23.95 Lacs,https://www.olx.com.pk/item/suzuki-alto-vxr-manual-black-iid-1104214702
14,Toyota Corolla XE 1995,Rs 13.50 Lacs,https://www.olx.com.pk/item/toyota-corolla-xe-1995-iid-1104214666
15,wagnor 2017 for sale,Rs 22.50 Lacs,https://www.olx.com.pk/item/wagnor-2017-for-sale-iid-1104196266
16,toyota vitz 2005,Rs 22 Lacs,https://www.olx.com.pk/item/toyota-vitz-2005-iid-1104214442
17,Toyota Corolla 2009-2014 Engine Shield – High Quality,Rs 800,https://www.olx.com.pk/item/toyota-corolla-2009-2014-engine-shield-high-quality-iid-1104214370
18,Total Geniune Mehran VXR 2013 Model,Rs 12 Lacs,https://www.olx.com.pk/item/total-geniune-mehran-vxr-2013-model-iid-1104214279
19,Toyota Aqua S push start 2013 Model,Rs 33 Lacs,https://www.olx.com.pk/item/toyota-aqua-s-push-start-2013-model-iid-1104214148
20,"Honda Engine & Fender Shields | Vezel, Civic, City All Models",Rs 800,https://www.olx.com.pk/item/honda-engine-fender-shields-vezel-civic-city-all-models-iid-1104214125
21,geniun 5natti japani Mazda T3500,Rs 42 Lacs,https://www.olx.com.pk/item/geniun-5natti-japani-mazda-t3500-iid-1104006601
22,gli 2008,Rs 18.30 Lacs,https://www.olx.com.pk/item/gli-2008-iid-1103710920
